,series_code,indicator_name
727,NY.TRF.NCTR.KN,Net secondary income (Net current transfers from abroad) (constant LCU)
728,NY.TTF.GNFS.KN,Terms of trade adjustment (constant LCU)
729,PA.NUS.ATLS,DEC alternative conversion factor (LCU per US$)
730,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)"
731,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)"
732,PA.NUS.PPPC.RF,Price level ratio of PPP conversion factor (GDP) to market exchange rate
733,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)"
734,per_allsp.adq_pop_tot,Adequacy of social protection and labor programs (% of total welfare of beneficiary households)
735,per_allsp.ben_q1_tot,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)
736,per_allsp.cov_pop_tot,Coverage of social protection and labor programs (% of population)
737,per_lm_alllm.adq_pop_tot,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)
738,per_lm_alllm.ben_q1_tot,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)
739,per_lm_alllm.cov_pop_tot,Coverage of unemployment benefits and ALMP (% of population)
740,per_lm_alllm.cov_q1_tot,Coverage of unemployment benefits and ALMP in poorest quintile (% of population)
741,per_lm_alllm.cov_q2_tot,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)
742,per_lm_alllm.cov_q3_tot,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)
743,per_lm_alllm.cov_q4_tot,Coverage of unemployment benefits and ALMP in 4th quintile (% of population)
744,per_lm_alllm.cov_q5_tot,Coverage of unemployment benefits and ALMP in richest quintile (% of population)
745,per_sa_allsa.adq_pop_tot,Adequacy of social safety net programs (% of total welfare of beneficiary households)
746,per_sa_allsa.ben_q1_tot,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)
747,per_sa_allsa.cov_pop_tot,Coverage of social safety net programs (% of population)
748,per_sa_allsa.cov_q1_tot,Coverage of social safety net programs in poorest quintile (% of population)
749,per_sa_allsa.cov_q2_tot,Coverage of social safety net programs in 2nd quintile (% of population)
750,per_sa_allsa.cov_q3_tot,Coverage of social safety net programs in 3rd quintile (% of population)
751,per_sa_allsa.cov_q4_tot,Coverage of social safety net programs in 4th quintile (% of population)
752,per_sa_allsa.cov_q5_tot,Coverage of social safety net programs in richest quintile (% of population)
753,per_si_allsi.adq_pop_tot,Adequacy of social insurance programs (% of total welfare of beneficiary households)
754,per_si_allsi.ben_q1_tot,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)
755,per_si_allsi.cov_pop_tot,Coverage of social insurance programs (% of population)
756,per_si_allsi.cov_q1_tot,Coverage of social insurance programs in poorest quintile (% of population)
757,per_si_allsi.cov_q2_tot,Coverage of social insurance programs in 2nd quintile (% of population)
758,per_si_allsi.cov_q3_tot,Coverage of social insurance programs in 3rd quintile (% of population)
759,per_si_allsi.cov_q4_tot,Coverage of social insurance programs in 4th quintile (% of population)
760,per_si_allsi.cov_q5_tot,Coverage of social insurance programs in richest quintile (% of population)
761,PX.REX.REER,Real effective exchange rate index (2010 = 100)
762,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)"
763,SE.ADT.1524.LT.FM.ZS,"Literacy rate, youth (ages 15-24), gender parity index (GPI)"
764,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)"
765,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)"
766,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)"
767,SE.ADT.LITR.MA.ZS,"Literacy rate, adult male (% of males ages 15 and above)"
768,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)"
769,SE.COM.DURS,"Compulsory education, duration (years)"
770,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)"
771,SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)"
772,SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)"
773,SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)"
774,SE.PRE.DURS,"Preprimary education, duration (years)"
775,SE.PRE.ENRL.TC.ZS,"Pupil-teacher ratio, preprimary"
776,SE.PRE.ENRR,"School enrollment, preprimary (% gross)"
777,SE.PRE.ENRR.FE,"School enrollment, preprimary, female (% gross)"
778,SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)"
779,SE.PRE.TCAQ.FE.ZS,"Trained teachers in preprimary education, female (% of female teachers)"
780,SE.PRE.TCAQ.MA.ZS,"Trained teachers in preprimary education, male (% of male teachers)"
781,SE.PRE.TCAQ.ZS,Trained teachers in preprimary education (% of total teachers)
782,SE.PRM.AGES,Primary school starting age (years)
783,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)"
784,SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)"
785,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)"
786,SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
787,SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
788,SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
789,SE.PRM.DURS,"Primary education, duration (years)"
790,SE.PRM.ENRL,"Primary education, pupils"
791,SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)"
792,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary"
793,SE.PRM.ENRR,"School enrollment, primary (% gross)"
794,SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)"
795,SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)"
796,SE.PRM.GINT.FE.ZS,"Gross intake ratio in first grade of primary education, female (% of relevant age group)"
797,SE.PRM.GINT.MA.ZS,"Gross intake ratio in first grade of primary education, male (% of relevant age group)"
798,SE.PRM.GINT.ZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)"
799,SE.PRM.NENR,"School enrollment, primary (% net)"
800,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)"
801,SE.PRM.NENR.MA,"School enrollment, primary, male (% net)"
802,SE.PRM.NINT.FE.ZS,"Net intake rate in grade 1, female (% of official school-age population)"
803,SE.PRM.NINT.MA.ZS,"Net intake rate in grade 1, male (% of official school-age population)"
804,SE.PRM.NINT.ZS,Net intake rate in grade 1 (% of official school-age population)
805,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)"
806,SE.PRM.OENR.MA.ZS,"Over-age students, primary, male (% of male enrollment)"
807,SE.PRM.OENR.ZS,"Over-age students, primary (% of enrollment)"
808,SE.PRM.PRIV.ZS,"School enrollment, primary, private (% of total primary)"
809,SE.PRM.PRS5.FE.ZS,"Persistence to grade 5, female (% of cohort)"
810,SE.PRM.PRS5.MA.ZS,"Persistence to grade 5, male (% of cohort)"
811,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)"
812,SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)"
813,SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)"
814,SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)"
815,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)"
816,SE.PRM.REPT.MA.ZS,"Repeaters, primary, male (% of male enrollment)"
817,SE.PRM.REPT.ZS,"Repeaters, primary, total (% of total enrollment)"
818,SE.PRM.TCAQ.FE.ZS,"Trained teachers in primary education, female (% of female teachers)"
819,SE.PRM.TCAQ.MA.ZS,"Trained teachers in primary education, male (% of male teachers)"
820,SE.PRM.TCAQ.ZS,Trained teachers in primary education (% of total teachers)
821,SE.PRM.TCHR,"Primary education, teachers"
822,SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)"
823,SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)"
824,SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
825,SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
826,SE.PRM.UNER,"Children out of school, primary"
827,SE.PRM.UNER.FE,"Children out of school, primary, female"
828,SE.PRM.UNER.FE.ZS,"Children out of school, female (% of female primary school age)"
829,SE.PRM.UNER.MA,"Children out of school, primary, male"
830,SE.PRM.UNER.MA.ZS,"Children out of school, male (% of male primary school age)"
831,SE.PRM.UNER.ZS,Children out of school (% of primary school age)
832,SE.SEC.AGES,Lower secondary school starting age (years)
833,SE.SEC.CMPT.LO.FE.ZS,"Lower secondary completion rate, female (% of relevant age group)"
834,SE.SEC.CMPT.LO.MA.ZS,"Lower secondary completion rate, male (% of relevant age group)"
835,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)"
836,SE.SEC.CUAT.LO.FE.ZS,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
837,SE.SEC.CUAT.LO.MA.ZS,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
838,SE.SEC.CUAT.LO.ZS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
839,SE.SEC.CUAT.PO.FE.ZS,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
840,SE.SEC.CUAT.PO.MA.ZS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
841,SE.SEC.CUAT.PO.ZS,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
842,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
843,SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
844,SE.SEC.CUAT.UP.ZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
845,SE.SEC.DURS,"Secondary education, duration (years)"
846,SE.SEC.ENRL,"Secondary education, pupils"
847,SE.SEC.ENRL.FE.ZS,"Secondary education, pupils (% female)"
848,SE.SEC.ENRL.GC,"Secondary education, general pupils"
849,SE.SEC.ENRL.GC.FE.ZS,"Secondary education, general pupils (% female)"
850,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary"
851,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary"
852,SE.SEC.ENRL.UP.TC.ZS,"Pupil-teacher ratio, upper secondary"
853,SE.SEC.ENRL.VO,"Secondary education, vocational pupils"
854,SE.SEC.ENRL.VO.FE.ZS,"Secondary education, vocational pupils (% female)"
855,SE.SEC.ENRR,"School enrollment, secondary (% gross)"
856,SE.SEC.ENRR.FE,"School enrollment, secondary, female (% gross)"
857,SE.SEC.ENRR.MA,"School enrollment, secondary, male (% gross)"
858,SE.SEC.NENR,"School enrollment, secondary (% net)"
859,SE.SEC.NENR.FE,"School enrollment, secondary, female (% net)"
860,SE.SEC.NENR.MA,"School enrollment, secondary, male (% net)"
861,SE.SEC.PRIV.ZS,"School enrollment, secondary, private (% of total secondary)"
862,SE.SEC.PROG.FE.ZS,"Progression to secondary school, female (%)"
863,SE.SEC.PROG.MA.ZS,"Progression to secondary school, male (%)"
864,SE.SEC.PROG.ZS,Progression to secondary school (%)
865,SE.SEC.TCAQ.FE.ZS,"Trained teachers in secondary education, female (% of female teachers)"
866,SE.SEC.TCAQ.LO.FE.ZS,"Trained teachers in lower secondary education, female (% of female teachers)"
867,SE.SEC.TCAQ.LO.MA.ZS,"Trained teachers in lower secondary education, male (% of male teachers)"
868,SE.SEC.TCAQ.LO.ZS,Trained teachers in lower secondary education (% of total teachers)
869,SE.SEC.TCAQ.MA.ZS,"Trained teachers in secondary education, male (% of male teachers)"
870,SE.SEC.TCAQ.UP.FE.ZS,"Trained teachers in upper secondary education, female (% of female teachers)"
871,SE.SEC.TCAQ.UP.MA.ZS,"Trained teachers in upper secondary education, male (% of male teachers)"
872,SE.SEC.TCAQ.UP.ZS,Trained teachers in upper secondary education (% of total teachers)
873,SE.SEC.TCAQ.ZS,Trained teachers in secondary education (% of total teachers)
874,SE.SEC.TCHR,"Secondary education, teachers"
875,SE.SEC.TCHR.FE,"Secondary education, teachers, female"
876,SE.SEC.TCHR.FE.ZS,"Secondary education, teachers (% female)"
877,SE.SEC.UNER.LO.FE.ZS,"Adolescents out of school, female (% of female lower secondary school age)"
878,SE.SEC.UNER.LO.MA.ZS,"Adolescents out of school, male (% of male lower secondary school age)"
879,SE.SEC.UNER.LO.ZS,Adolescents out of school (% of lower secondary school age)
880,SE.TER.CUAT.BA.FE.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
881,SE.TER.CUAT.BA.MA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
882,SE.TER.CUAT.BA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
883,SE.TER.CUAT.DO.FE.ZS,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
884,SE.TER.CUAT.DO.MA.ZS,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
885,SE.TER.CUAT.DO.ZS,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
886,SE.TER.CUAT.MS.FE.ZS,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
887,SE.TER.CUAT.MS.MA.ZS,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
888,SE.TER.CUAT.MS.ZS,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
889,SE.TER.CUAT.ST.FE.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
890,SE.TER.CUAT.ST.MA.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
891,SE.TER.CUAT.ST.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
892,SE.TER.ENRL.TC.ZS,"Pupil-teacher ratio, tertiary"
893,SE.TER.ENRR,"School enrollment, tertiary (% gross)"
894,SE.TER.ENRR.FE,"School enrollment, tertiary, female (% gross)"
895,SE.TER.ENRR.MA,"School enrollment, tertiary, male (% gross)"
896,SE.TER.TCHR.FE.ZS,"Tertiary education, academic staff (% female)"
897,SE.XPD.CPRM.ZS,"Current education expenditure, primary (% of total expenditure in primary public institutions)"
898,SE.XPD.CSEC.ZS,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)"
899,SE.XPD.CTER.ZS,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)"
900,SE.XPD.CTOT.ZS,"Current education expenditure, total (% of total expenditure in public institutions)"
901,SE.XPD.PRIM.PC.ZS,"Government expenditure per student, primary (% of GDP per capita)"
902,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education)
903,SE.XPD.SECO.PC.ZS,"Government expenditure per student, secondary (% of GDP per capita)"
904,SE.XPD.SECO.ZS,Expenditure on secondary education (% of government expenditure on education)
905,SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary (% of GDP per capita)"
906,SE.XPD.TERT.ZS,Expenditure on tertiary education (% of government expenditure on education)
907,SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
908,SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)"
909,SG.DMK.ALLD.FN.ZS,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
910,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)"
911,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%)
912,SG.LAW.INDX,Women Business and the Law Index Score (scale 1-100)
913,SG.TIM.UWRK.FE,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)"
914,SG.TIM.UWRK.MA,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)"
915,SG.VAW.1549.ZS,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)
916,SG.VAW.ARGU.ZS,Women who believe a husband is justified in beating his wife when she argues with him (%)
917,SG.VAW.BURN.ZS,Women who believe a husband is justified in beating his wife when she burns the food (%)
918,SG.VAW.GOES.ZS,Women who believe a husband is justified in beating his wife when she goes out without telling him (%)
919,SG.VAW.NEGL.ZS,Women who believe a husband is justified in beating his wife when she neglects the children (%)
920,SG.VAW.REAS.ZS,Women who believe a husband is justified in beating his wife (any of five reasons) (%)
921,SG.VAW.REFU.ZS,Women who believe a husband is justified in beating his wife when she refuses sex with him (%)
922,SH.ALC.PCAP.FE.LI,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"
923,SH.ALC.PCAP.LI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
924,SH.ALC.PCAP.MA.LI,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
925,SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49)
926,SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months)
927,SH.ANM.NPRG.ZS,Prevalence of anemia among non-pregnant women (% of women ages 15-49)
928,SH.CON.1524.FE.ZS,"Condom use, population ages 15-24, female (% of females ages 15-24)"
929,SH.CON.1524.MA.ZS,"Condom use, population ages 15-24, male (% of males ages 15-24)"
930,SH.DTH.0509,Number of deaths ages 5-9 years
931,SH.DTH.1014,Number of deaths ages 10-14 years
932,SH.DTH.1519,Number of deaths ages 15-19 years
933,SH.DTH.2024,Number of deaths ages 20-24 years
934,SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
935,SH.DTH.IMRT,Number of infant deaths
936,SH.DTH.INJR.ZS,"Cause of death, by injury (% of total)"
937,SH.DTH.MORT,Number of under-five deaths
938,SH.DTH.NCOM.ZS,"Cause of death, by non-communicable diseases (% of total)"
939,SH.DTH.NMRT,Number of neonatal deaths
940,SH.DYN.0509,"Probability of dying among children ages 5-9 years (per 1,000)"
941,SH.DYN.1014,"Probability of dying among adolescents ages 10-14 years (per 1,000)"
942,SH.DYN.1519,"Probability of dying among adolescents ages 15-19 years (per 1,000)"
943,SH.DYN.2024,"Probability of dying among youth ages 20-24 years (per 1,000)"
944,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%)
945,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)"
946,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)"
947,SH.DYN.MORT.FE,"Mortality rate, under-5, female (per 1,000 live births)"
948,SH.DYN.MORT.MA,"Mortality rate, under-5, male (per 1,000 live births)"
949,SH.DYN.NCOM.FE.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)"
950,SH.DYN.NCOM.MA.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)"
951,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
952,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)"
953,SH.FPL.SATM.ZS,Demand for family planning satisfied by modern methods (% of married women with demand for family planning)
954,SH.H2O.BASW.RU.ZS,"People using at least basic drinking water services, rural (% of rural population)"
955,SH.H2O.BASW.UR.ZS,"People using at least basic drinking water services, urban (% of urban population)"
956,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population)
957,SH.H2O.SMDW.RU.ZS,"People using safely managed drinking water services, rural (% of rural population)"
958,SH.H2O.SMDW.UR.ZS,"People using safely managed drinking water services, urban (% of urban population)"
959,SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population)
960,SH.HIV.0014,Children (0-14) living with HIV
961,SH.HIV.1524.FE.ZS,"Prevalence of HIV, female (% ages 15-24)"
962,SH.HIV.1524.MA.ZS,"Prevalence of HIV, male (% ages 15-24)"
963,SH.HIV.ARTC.ZS,Antiretroviral therapy coverage (% of people living with HIV)
964,SH.HIV.INCD,Adults (ages 15-49) newly infected with HIV
965,SH.HIV.INCD.14,Children (ages 0-14) newly infected with HIV
966,SH.HIV.INCD.TL,Adults (ages 15+) and children (ages 0-14) newly infected with HIV
967,SH.HIV.INCD.TL.P3,"Incidence of HIV, all (per 1,000 uninfected population)"
968,SH.HIV.INCD.YG,Young people (ages 15-24) newly infected with HIV
969,SH.HIV.INCD.YG.P3,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)"
970,SH.HIV.INCD.ZS,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)"
971,SH.HIV.PMTC.ZS,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)
972,SH.IMM.HEPB,"Immunization, HepB3 (% of one-year-old children)"
973,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)"
974,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)"
975,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)"
976,SH.MED.CMHW.P3,"Community health workers (per 1,000 people)"
977,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)"
978,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)"
979,SH.MED.SAOP.P5,"Specialist surgical workforce (per 100,000 population)"
980,SH.MLR.INCD.P3,"Incidence of malaria (per 1,000 population at risk)"
981,SH.MLR.NETS.ZS,Use of insecticide-treated bed nets (% of under-5 population)
982,SH.MLR.TRET.ZS,Children with fever receiving antimalarial drugs (% of children under age 5 with fever)
983,SH.MMR.DTHS,Number of maternal deaths
984,SH.MMR.RISK,Lifetime risk of maternal death (1 in: rate varies by country)
985,SH.MMR.RISK.ZS,Lifetime risk of maternal death (%)
986,SH.PRG.ANEM,Prevalence of anemia among pregnant women (%)
987,SH.PRV.SMOK,Prevalence of current tobacco use (% of adults)
988,SH.PRV.SMOK.FE,"Prevalence of current tobacco use, females (% of female adults)"
989,SH.PRV.SMOK.MA,"Prevalence of current tobacco use, males (% of male adults)"
990,SH.SGR.CRSK.ZS,Risk of catastrophic expenditure for surgical care (% of people at risk)
991,SH.SGR.IRSK.ZS,Risk of impoverishing expenditure for surgical care (% of people at risk)
992,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)"
993,SH.STA.AIRP.FE.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)"
994,SH.STA.AIRP.MA.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)"
995,SH.STA.AIRP.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)"
996,SH.STA.ANVC.ZS,Pregnant women receiving prenatal care (%)
997,SH.STA.ARIC.ZS,ARI treatment (% of children under 5 taken to a health provider)
998,SH.STA.BASS.RU.ZS,"People using at least basic sanitation services, rural (% of rural population)"
999,SH.STA.BASS.UR.ZS,"People using at least basic sanitation services, urban (% of urban population)"
1000,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population)
1001,SH.STA.BFED.ZS,Exclusive breastfeeding (% of children under 6 months)
1002,SH.STA.BRTC.ZS,Births attended by skilled health staff (% of total)
1003,SH.STA.BRTW.ZS,Low-birthweight babies (% of births)
1004,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79)
1005,SH.STA.FGMS.ZS,Female genital mutilation prevalence (%)
1006,SH.STA.HYGN.RU.ZS,"People with basic handwashing facilities including soap and water, rural (% of rural population)"
1007,SH.STA.HYGN.UR.ZS,"People with basic handwashing facilities including soap and water, urban (% of urban population)"
1008,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population)
1009,SH.STA.MALN.FE.ZS,"Prevalence of underweight, weight for age, female (% of children under 5)"
1010,SH.STA.MALN.MA.ZS,"Prevalence of underweight, weight for age, male (% of children under 5)"
1011,SH.STA.MALN.ZS,"Prevalence of underweight, weight for age (% of children under 5)"
1012,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
1013,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)"
1014,SH.STA.ODFC.RU.ZS,"People practicing open defecation, rural (% of rural population)"
1015,SH.STA.ODFC.UR.ZS,"People practicing open defecation, urban (% of urban population)"
1016,SH.STA.ODFC.ZS,People practicing open defecation (% of population)
1017,SH.STA.ORCF.ZS,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)
1018,SH.STA.ORTH,Diarrhea treatment (% of children under 5 who received ORS packet)
1019,SH.STA.OWGH.FE.ZS,"Prevalence of overweight, weight for height, female (% of children under 5)"
1020,SH.STA.OWGH.MA.ZS,"Prevalence of overweight, weight for height, male (% of children under 5)"
1021,SH.STA.OWGH.ME.ZS,"Prevalence of overweight (modeled estimate, % of children under 5)"
1022,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)"
1023,SH.STA.POIS.P5,"Mortality rate attributed to unintentional poisoning (per 100,000 population)"
1024,SH.STA.POIS.P5.FE,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"
1025,SH.STA.POIS.P5.MA,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"
1026,SH.STA.SMSS.RU.ZS,"People using safely managed sanitation services, rural (% of rural population)"
1027,SH.STA.SMSS.UR.ZS,"People using safely managed sanitation services, urban (% of urban population)"
1028,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population)
1029,SH.STA.STNT.FE.ZS,"Prevalence of stunting, height for age, female (% of children under 5)"
1030,SH.STA.STNT.MA.ZS,"Prevalence of stunting, height for age, male (% of children under 5)"
1031,SH.STA.STNT.ME.ZS,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)"
1032,SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)"
1033,SH.STA.SUIC.FE.P5,"Suicide mortality rate, female (per 100,000 female population)"
1034,SH.STA.SUIC.MA.P5,"Suicide mortality rate, male (per 100,000 male population)"
1035,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)"
1036,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)"
1037,SH.STA.WASH.P5,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)"
1038,SH.STA.WAST.FE.ZS,"Prevalence of wasting, weight for height, female (% of children under 5)"
1039,SH.STA.WAST.MA.ZS,"Prevalence of wasting, weight for height, male (% of children under 5)"
1040,SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)"
1041,SH.SVR.WAST.FE.ZS,"Prevalence of severe wasting, weight for height, female (% of children under 5)"
1042,SH.SVR.WAST.MA.ZS,"Prevalence of severe wasting, weight for height, male (% of children under 5)"
1043,SH.SVR.WAST.ZS,"Prevalence of severe wasting, weight for height (% of children under 5)"
1044,SH.TBS.CURE.ZS,Tuberculosis treatment success rate (% of new cases)
1045,SH.TBS.DTEC.ZS,"Tuberculosis case detection rate (%, all forms)"
1046,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)"
1047,SH.UHC.NOP1.CG,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)
1048,SH.UHC.NOP1.TO,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1049,SH.UHC.NOP1.ZG,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)
